[LOG] System::create                           : Header version = 1.09.04. Current version = 1.09.04.
[LOG] SystemI::createSoundInternal             : done.  OpenState now = FMOD_OPENSTATE_READY.

[LOG] SystemI::createSoundInternal             : filename =  : mode 02000202
[LOG] SystemI::createSoundInternal             : exinfo->cbsize             = 232
[LOG] SystemI::createSoundInternal             : exinfo->length             = 2660960
[LOG] SystemI::createSoundInternal             : exinfo->fileoffset         = 60704
[LOG] SystemI::createSoundInternal             : exinfo->numsubsounds       = 1
[LOG] SystemI::createSoundInternal             : exinfo->inclusionlist      = 000000006497FBF8
[LOG] SystemI::createSoundInternal             : exinfo->inclusionlistnum   = 1
[LOG] SystemI::createSoundInternal             : exinfo->suggestedsoundtype = 5
[LOG] SystemI::createSoundInternal             : exinfo->useropen           = 00007FFD8DC56730
[LOG] SystemI::createSoundInternal             : exinfo->userclose          = 00007FFD8DC56700
[LOG] SystemI::createSoundInternal             : exinfo->userread           = 00007FFD8DC56800
[LOG] SystemI::createSoundInternal             : exinfo->userseek           = 00007FFD8DC568B0
[LOG] SystemI::createSoundInternal             : exinfo->fileuserdata       = 00000000462E19B8
[LOG] SystemI::DSPCodecPoolRegister            : register codec pool for pool type 5
[LOG] SystemI::createSoundInternal             : Format has 1 subsounds.
[LOG] SystemI::createSoundInternal             : Create as FMOD_CREATESAMPLE
[LOG] SystemI::createSoundInternal             : Multi-sample sound (1 subsounds), create a sample container.
[LOG] SystemI::createSoundInternal             : creating subsound 0/1
[LOG] SystemI::createSample                    : mode 02000202 length 30427 samples, lengthbytes 5440
[LOG] SystemI::createSample                    : channels = 1
[LOG] SystemI::createSample                    : output = 0000000046425DB8
[LOG] OutputSoftware::createSample             : lengthpcm 30427, lengthbytes 5440, channels 1, format 2, freq 48000, mode 0200020a
[LOG] SystemI::createSoundInternal             : No name found in file, use filename.
[LOG] SystemI::createSoundInternal             : done.  OpenState now = FMOD_OPENSTATE_READY.

[LOG] SystemI::createSoundInternal             : filename =  : mode 02000202
[LOG] SystemI::createSoundInternal             : exinfo->cbsize             = 232
[LOG] SystemI::createSoundInternal             : exinfo->length             = 2660960
[LOG] SystemI::createSoundInternal             : exinfo->fileoffset         = 60704
[LOG] SystemI::createSoundInternal             : exinfo->numsubsounds       = 1
[LOG] SystemI::createSoundInternal             : exinfo->inclusionlist      = 000000006497FBF8
[LOG] SystemI::createSoundInternal             : exinfo->inclusionlistnum   = 1
[LOG] SystemI::createSoundInternal             : exinfo->suggestedsoundtype = 5
[LOG] SystemI::createSoundInternal             : exinfo->useropen           = 00007FFD8DC56730
[LOG] SystemI::createSoundInternal             : exinfo->userclose          = 00007FFD8DC56700
[LOG] SystemI::createSoundInternal             : exinfo->userread           = 00007FFD8DC56800
[LOG] SystemI::createSoundInternal             : exinfo->userseek           = 00007FFD8DC568B0
[LOG] SystemI::createSoundInternal             : exinfo->fileuserdata       = 00000000462E19B8
[LOG] SystemI::DSPCodecPoolRegister            : register codec pool for pool type 5
[LOG] SystemI::createSoundInternal             : Format has 1 subsounds.
[LOG] SystemI::createSoundInternal             : Create as FMOD_CREATESAMPLE
[LOG] SystemI::createSoundInternal             : Multi-sample sound (1 subsounds), create a sample container.
[LOG] SystemI::createSoundInternal             : creating subsound 0/1
[LOG] SystemI::createSample                    : mode 02000202 length 29971 samples, lengthbytes 5472
[LOG] SystemI::createSample                    : channels = 1
[LOG] SystemI::createSample                    : output = 0000000046425DB8
[LOG] OutputSoftware::createSample             : lengthpcm 29971, lengthbytes 5472, channels 1, format 2, freq 48000, mode 0200020a
[LOG] SystemI::createSoundInternal             : No name found in file, use filename.
[LOG] SystemI::createSoundInternal             : done.  OpenState now = FMOD_OPENSTATE_READY.

[LOG] SystemI::createSoundInternal             : filename =  : mode 02000202
[LOG] SystemI::createSoundInternal             : exinfo->cbsize             = 232
[LOG] SystemI::createSoundInternal             : exinfo->length             = 2660960
[LOG] SystemI::createSoundInternal             : exinfo->fileoffset         = 60704
[LOG] SystemI::createSoundInternal             : exinfo->numsubsounds       = 1
[LOG] SystemI::createSoundInternal             : exinfo->inclusionlist      = 000000006497FBF8
[LOG] SystemI::createSoundInternal             : exinfo->inclusionlistnum   = 1
[LOG] SystemI::createSoundInternal             : exinfo->suggestedsoundtype = 5
[LOG] SystemI::createSoundInternal             : exinfo->useropen           = 00007FFD8DC56730
[LOG] SystemI::createSoundInternal             : exinfo->userclose          = 00007FFD8DC56700
[LOG] SystemI::createSoundInternal             : exinfo->userread           = 00007FFD8DC56800
[LOG] SystemI::createSoundInternal             : exinfo->userseek           = 00007FFD8DC568B0
[LOG] SystemI::createSoundInternal             : exinfo->fileuserdata       = 00000000462E19B8
[LOG] SystemI::DSPCodecPoolRegister            : register codec pool for pool type 5
[LOG] SystemI::createSoundInternal             : Format has 1 subsounds.
[LOG] SystemI::createSoundInternal             : Create as FMOD_CREATESAMPLE
[LOG] SystemI::createSoundInternal             : Multi-sample sound (1 subsounds), create a sample container.
[LOG] SystemI::createSoundInternal             : creating subsound 0/1
[LOG] SystemI::createSample                    : mode 02000202 length 33529 samples, lengthbytes 6176
[LOG] SystemI::createSample                    : channels = 1
[LOG] SystemI::createSample                    : output = 0000000046425DB8
[LOG] OutputSoftware::createSample             : lengthpcm 33529, lengthbytes 6176, channels 1, format 2, freq 48000, mode 0200020a
[LOG] SystemI::createSoundInternal             : No name found in file, use filename.
[LOG] SystemI::createSoundInternal             : done.  OpenState now = FMOD_OPENSTATE_READY.

[LOG] SystemI::createSoundInternal             : filename =  : mode 02000202
[LOG] SystemI::createSoundInternal             : exinfo->cbsize             = 232
[LOG] SystemI::createSoundInternal             : exinfo->length             = 2660960
[LOG] SystemI::createSoundInternal             : exinfo->fileoffset         = 60704
[LOG] SystemI::createSoundInternal             : exinfo->numsubsounds       = 1
[LOG] SystemI::createSoundInternal             : exinfo->inclusionlist      = 000000006497FBF8
[LOG] SystemI::createSoundInternal             : exinfo->inclusionlistnum   = 1
[LOG] SystemI::createSoundInternal             : exinfo->suggestedsoundtype = 5
[LOG] SystemI::createSoundInternal             : exinfo->useropen           = 00007FFD8DC56730
[LOG] SystemI::createSoundInternal             : exinfo->userclose          = 00007FFD8DC56700
[LOG] SystemI::createSoundInternal             : exinfo->userread           = 00007FFD8DC56800
[LOG] SystemI::createSoundInternal             : exinfo->userseek           = 00007FFD8DC568B0
[LOG] SystemI::createSoundInternal             : exinfo->fileuserdata       = 00000000462E19B8
[LOG] SystemI::DSPCodecPoolRegister            : register codec pool for pool type 5
[LOG] SystemI::createSoundInternal             : Format has 1 subsounds.
[LOG] SystemI::createSoundInternal             : Create as FMOD_CREATESAMPLE
[LOG] SystemI::createSoundInternal             : Multi-sample sound (1 subsounds), create a sample container.
[LOG] SystemI::createSoundInternal             : creating subsound 0/1
[LOG] SystemI::createSample                    : mode 02000202 length 44159 samples, lengthbytes 7296
[LOG] SystemI::createSample                    : channels = 1
[LOG] SystemI::createSample                    : output = 0000000046425DB8
[LOG] OutputSoftware::createSample             : lengthpcm 44159, lengthbytes 7296, channels 1, format 2, freq 48000, mode 0200020a
[LOG] SystemI::createSoundInternal             : No name found in file, use filename.
[LOG] SystemI::createSoundInternal             : done.  OpenState now = FMOD_OPENSTATE_READY.

[LOG] SystemI::createSoundInternal             : filename =  : mode 02000202
[LOG] SystemI::createSoundInternal             : exinfo->cbsize             = 232
[LOG] SystemI::createSoundInternal             : exinfo->length             = 2660960
[LOG] SystemI::createSoundInternal             : exinfo->fileoffset         = 60704
[LOG] SystemI::createSoundInternal             : exinfo->numsubsounds       = 1
[LOG] SystemI::createSoundInternal             : exinfo->inclusionlist      = 000000006497FBF8
[LOG] SystemI::createSoundInternal             : exinfo->inclusionlistnum   = 1
[LOG] SystemI::createSoundInternal             : exinfo->suggestedsoundtype = 5
[LOG] SystemI::createSoundInternal             : exinfo->useropen           = 00007FFD8DC56730
[LOG] SystemI::createSoundInternal             : exinfo->userclose          = 00007FFD8DC56700
[LOG] SystemI::createSoundInternal             : exinfo->userread           = 00007FFD8DC56800
[LOG] SystemI::createSoundInternal             : exinfo->userseek           = 00007FFD8DC568B0
[LOG] SystemI::createSoundInternal             : exinfo->fileuserdata       = 00000000462E19B8
[LOG] SystemI::DSPCodecPoolRegister            : register codec pool for pool type 5
[LOG] SystemI::createSoundInternal             : Format has 1 subsounds.
[LOG] SystemI::createSoundInternal             : Create as FMOD_CREATESAMPLE
[LOG] SystemI::createSoundInternal             : Multi-sample sound (1 subsounds), create a sample container.
[LOG] SystemI::createSoundInternal             : creating subsound 0/1
[LOG] SystemI::createSample                    : mode 02000202 length 55883 samples, lengthbytes 8768
[LOG] SystemI::createSample                    : channels = 1
[LOG] SystemI::createSample                    : output = 0000000046425DB8
[LOG] OutputSoftware::createSample             : lengthpcm 55883, lengthbytes 8768, channels 1, format 2, freq 48000, mode 0200020a
[LOG] SystemI::createSoundInternal             : No name found in file, use filename.
[LOG] SystemI::createSoundInternal             : done.  OpenState now = FMOD_OPENSTATE_READY.

[LOG] SystemI::createSoundInternal             : filename =  : mode 02000202
[LOG] SystemI::createSoundInternal             : exinfo->cbsize             = 232
[LOG] SystemI::createSoundInternal             : exinfo->length             = 2660960
[LOG] SystemI::createSoundInternal             : exinfo->fileoffset         = 60704
[LOG] SystemI::createSoundInternal             : exinfo->numsubsounds       = 1
[LOG] SystemI::createSoundInternal             : exinfo->inclusionlist      = 000000006497FBF8
[LOG] SystemI::createSoundInternal             : exinfo->inclusionlistnum   = 1
[LOG] SystemI::createSoundInternal             : exinfo->suggestedsoundtype = 5
[LOG] SystemI::createSoundInternal             : exinfo->useropen           = 00007FFD8DC56730
[LOG] SystemI::createSoundInternal             : exinfo->userclose          = 00007FFD8DC56700
[LOG] SystemI::createSoundInternal             : exinfo->userread           = 00007FFD8DC56800
[LOG] SystemI::createSoundInternal             : exinfo->userseek           = 00007FFD8DC568B0
[LOG] SystemI::createSoundInternal             : exinfo->fileuserdata       = 00000000462E19B8
[LOG] SystemI::DSPCodecPoolRegister            : register codec pool for pool type 5
[LOG] SystemI::createSoundInternal             : Format has 1 subsounds.
[LOG] SystemI::createSoundInternal             : Create as FMOD_CREATESAMPLE
[LOG] SystemI::createSoundInternal             : Multi-sample sound (1 subsounds), create a sample container.
[LOG] SystemI::createSoundInternal             : creating subsound 0/1
[LOG] SystemI::createSample                    : mode 02000202 length 31476 samples, lengthbytes 5600
[LOG] SystemI::createSample                    : channels = 1
[LOG] SystemI::createSample                    : output = 0000000046425DB8
[LOG] OutputSoftware::createSample             : lengthpcm 31476, lengthbytes 5600, channels 1, format 2, freq 48000, mode 0200020a
[LOG] SystemI::createSoundInternal             : No name found in file, use filename.
[LOG] SystemI::createSoundInternal             : done.  OpenState now = FMOD_OPENSTATE_READY.

[LOG] SystemI::createSoundInternal             : filename =  : mode 02000202
[LOG] SystemI::createSoundInternal             : exinfo->cbsize             = 232
[LOG] SystemI::createSoundInternal             : exinfo->length             = 2660960
[LOG] SystemI::createSoundInternal             : exinfo->fileoffset         = 60704
[LOG] SystemI::createSoundInternal             : exinfo->numsubsounds       = 1
[LOG] SystemI::createSoundInternal             : exinfo->inclusionlist      = 000000006497FBF8
[LOG] SystemI::createSoundInternal             : exinfo->inclusionlistnum   = 1
[LOG] SystemI::createSoundInternal             : exinfo->suggestedsoundtype = 5
[LOG] SystemI::createSoundInternal             : exinfo->useropen           = 00007FFD8DC56730
[LOG] SystemI::createSoundInternal             : exinfo->userclose          = 00007FFD8DC56700
[LOG] SystemI::createSoundInternal             : exinfo->userread           = 00007FFD8DC56800
[LOG] SystemI::createSoundInternal             : exinfo->userseek           = 00007FFD8DC568B0
[LOG] SystemI::createSoundInternal             : exinfo->fileuserdata       = 00000000462E19B8
[LOG] SystemI::DSPCodecPoolRegister            : register codec pool for pool type 5
[LOG] SystemI::createSoundInternal             : Format has 1 subsounds.
[LOG] SystemI::createSoundInternal             : Create as FMOD_CREATESAMPLE
[LOG] SystemI::createSoundInternal             : Multi-sample sound (1 subsounds), create a sample container.
[LOG] SystemI::createSoundInternal             : creating subsound 0/1
[LOG] SystemI::createSample                    : mode 02000202 length 30245 samples, lengthbytes 5664
[LOG] SystemI::createSample                    : channels = 1
[LOG] SystemI::createSample                    : output = 0000000046425DB8
[LOG] OutputSoftware::createSample             : lengthpcm 30245, lengthbytes 5664, channels 1, format 2, freq 48000, mode 0200020a
[LOG] SystemI::createSoundInternal             : No name found in file, use filename.
[LOG] SystemI::createSoundInternal             : done.  OpenState now = FMOD_OPENSTATE_READY.

[LOG] SoundI::release                          :  (0000000015D4DD88)
[LOG] SoundI::release                          : release subsounds. (0000000015D4DD88)
[LOG] SoundI::release                          :     footsteps_concrete_01 (0000000046318128)
[LOG] SoundI::release                          :     done
[LOG] SoundI::release                          : release codec. (0000000015D4DD88)
[LOG] SoundI::release                          : done
[LOG] SoundI::release                          :  (0000000015D4F038)
[LOG] SoundI::release                          : release subsounds. (0000000015D4F038)
[LOG] SoundI::release                          :     footsteps_concrete_02 (00000000463197E8)
[LOG] SoundI::release                          :     done
[LOG] SoundI::release                          : release codec. (0000000015D4F038)
[LOG] SoundI::release                          : done
[LOG] SoundI::release                          :  (0000000015D4C3A8)
[LOG] SoundI::release                          : release subsounds. (0000000015D4C3A8)
[LOG] SoundI::release                          :     footsteps_concrete_03 (00000000464A18A8)
[LOG] SoundI::release                          :     done
[LOG] SoundI::release                          : release codec. (0000000015D4C3A8)
[LOG] SoundI::release                          : done
[LOG] SoundI::release                          :  (0000000015D4C238)
[LOG] SoundI::release                          : release subsounds. (0000000015D4C238)
[LOG] SoundI::release                          :     footsteps_concrete_04 (0000000046318608)
[LOG] SoundI::release                          :     done
[LOG] SoundI::release                          : release codec. (0000000015D4C238)
[LOG] SoundI::release                          : done
[LOG] SoundI::release                          :  (0000000015D4FE98)
[LOG] SoundI::release                          : release subsounds. (0000000015D4FE98)
[LOG] SoundI::release                          :     footsteps_concrete_05 (0000000046317DE8)
[LOG] SoundI::release                          :     done
[LOG] SoundI::release                          : release codec. (0000000015D4FE98)
[LOG] SoundI::release                          : done
[LOG] SoundI::release                          :  (0000000011806788)
[LOG] SoundI::release                          : release subsounds. (0000000011806788)
[LOG] SoundI::release                          :     footsteps_concrete_06 (00000000464A1A48)
[LOG] SoundI::release                          :     done
[LOG] SoundI::release                          : release codec. (0000000011806788)
[LOG] SoundI::release                          : done
[LOG] SoundI::release                          :  (0000000015D4C0C8)
[LOG] SoundI::release                          : release subsounds. (0000000015D4C0C8)
[LOG] SoundI::release                          :     footsteps_concrete_07 (00000000463182C8)
[LOG] SoundI::release                          :     done
[LOG] SoundI::release                          : release codec. (0000000015D4C0C8)
[LOG] SoundI::release                          : done
[LOG] SoundI::release                          :  (00000000118068F8)
[LOG] SoundI::release                          : release subsounds. (00000000118068F8)
[LOG] SoundI::release                          :     footsteps_concrete_08 (00000000464A1BE8)
[LOG] SoundI::release                          :     done
[LOG] SoundI::release                          : release codec. (00000000118068F8)
[LOG] SoundI::release                          : done
[LOG] SoundI::release                          :  (0000000015D4ED58)
[LOG] SoundI::release                          : release subsounds. (0000000015D4ED58)
[LOG] SoundI::release                          :     footsteps_concrete_09 (0000000046319308)
[LOG] SoundI::release                          :     done
[LOG] SoundI::release                          : release codec. (0000000015D4ED58)
[LOG] SoundI::release                          : done
[LOG] SoundI::release                          :  (0000000011805EE8)
[LOG] SoundI::release                          : release subsounds. (0000000011805EE8)
[LOG] SoundI::release                          :     footsteps_concrete_10 (00000000464A20C8)
[LOG] SoundI::release                          :     done
[LOG] SoundI::release                          : release codec. (0000000011805EE8)
[LOG] SoundI::release                          : done
[LOG] SoundI::release                          :  (0000000015D4F1A8)
[LOG] SoundI::release                          : release subsounds. (0000000015D4F1A8)
[LOG] SoundI::release                          :     footsteps_concrete_11 (0000000046318468)
[LOG] SoundI::release                          :     done
[LOG] SoundI::release                          : release codec. (0000000015D4F1A8)
[LOG] SoundI::release                          : done
[LOG] SoundI::release                          :  (0000000015D4D208)
[LOG] SoundI::release                          : release subsounds. (0000000015D4D208)
[LOG] SoundI::release                          :     footsteps_concrete_12 (0000000046319648)
[LOG] SoundI::release                          :     done
[LOG] SoundI::release                          : release codec. (0000000015D4D208)
[LOG] SoundI::release                          : done
[LOG] SoundI::release                          :  (0000000011805D78)
[LOG] SoundI::release                          : release subsounds. (0000000011805D78)
[LOG] SoundI::release                          :     footsteps_concrete_scuffle_03 (00000000464A1088)
[LOG] SoundI::release                          :     done
[LOG] SoundI::release                          : release codec. (0000000011805D78)
[LOG] SoundI::release                          : done
[LOG] SoundI::release                          :  (0000000015D4DAA8)
[LOG] SoundI::release                          : release subsounds. (0000000015D4DAA8)
[LOG] SoundI::release                          :     footsteps_concrete_scuffle_01 (00000000463194A8)
[LOG] SoundI::release                          :     done
[LOG] SoundI::release                          : release codec. (0000000015D4DAA8)
[LOG] SoundI::release                          : done
[LOG] SoundI::release                          :  (00000000118064A8)
[LOG] SoundI::release                          : release subsounds. (00000000118064A8)
[LOG] SoundI::release                          :     footsteps_concrete_scuffle_02 (00000000464A1228)
[LOG] SoundI::release                          :     done
[LOG] SoundI::release                          : release codec. (00000000118064A8)
[LOG] SoundI::release                          : done
[LOG] Manager::readBank                        : fileversion = 88, compatVersion = 86 (oldest = 44, newest = 88)
[WRN] PluginEffectModel::init                  : Missing DSP plugin 'Oculus Spatializer'
[WRN] RuntimeBankModel::initPluginEffects      : Creating stub DSP plugin model and continuing.
[WRN] PluginEffectModel::init                  : Missing DSP plugin 'Oculus Spatializer'
[WRN] RuntimeBankModel::initPluginEffects      : Creating stub DSP plugin model and continuing.
[WRN] PluginEffectModel::init                  : Missing DSP plugin 'Oculus Spatializer'
[WRN] RuntimeBankModel::initPluginEffects      : Creating stub DSP plugin model and continuing.
[WRN] PluginEffectModel::init                  : Missing DSP plugin 'Oculus Spatializer'
[WRN] RuntimeBankModel::initPluginEffects      : Creating stub DSP plugin model and continuing.
[WRN] PluginEffectModel::init                  : Missing DSP plugin 'Oculus Spatializer'
[WRN] RuntimeBankModel::initPluginEffects      : Creating stub DSP plugin model and continuing.
[WRN] PluginEffectModel::init                  : Missing DSP plugin 'Oculus Spatializer'
[WRN] RuntimeBankModel::initPluginEffects      : Creating stub DSP plugin model and continuing.
[WRN] PluginEffectModel::init                  : Missing DSP plugin 'Oculus Spatializer'
[WRN] RuntimeBankModel::initPluginEffects      : Creating stub DSP plugin model and continuing.
[WRN] PluginEffectModel::init                  : Missing DSP plugin 'Oculus Spatializer'
[WRN] RuntimeBankModel::initPluginEffects      : Creating stub DSP plugin model and continuing.
[WRN] PluginEffectModel::init                  : Missing DSP plugin 'Oculus Spatializer'
[WRN] RuntimeBankModel::initPluginEffects      : Creating stub DSP plugin model and continuing.
[LOG] PlaybackSystem::acquireMasterBus         : Setting master channel group format to 3
[WRN] EffectConstructionVisitor::visitPluginEffect : Warning.  Creating stub DSP for plugin 'Oculus Spatializer'
[LOG] SystemI::createSoundInternal             : filename =  : mode 02000202
[LOG] SystemI::createSoundInternal             : exinfo->cbsize             = 232
[LOG] SystemI::createSoundInternal             : exinfo->length             = 2660960
[LOG] SystemI::createSoundInternal             : exinfo->fileoffset         = 60704
[LOG] SystemI::createSoundInternal             : exinfo->numsubsounds       = 1
[LOG] SystemI::createSoundInternal             : exinfo->inclusionlist      = 000000006497FBF8
[LOG] SystemI::createSoundInternal             : exinfo->inclusionlistnum   = 1
[LOG] SystemI::createSoundInternal             : exinfo->suggestedsoundtype = 5
[LOG] SystemI::createSoundInternal             : exinfo->useropen           = 00007FFD8DC56730
[LOG] SystemI::createSoundInternal             : exinfo->userclose          = 00007FFD8DC56700
[LOG] SystemI::createSoundInternal             : exinfo->userread           = 00007FFD8DC56800
[LOG] SystemI::createSoundInternal             : exinfo->userseek           = 00007FFD8DC568B0
[LOG] SystemI::createSoundInternal             : exinfo->fileuserdata       = 00000000462E6A78
[LOG] SystemI::DSPCodecPoolRegister            : register codec pool for pool type 5
[LOG] SystemI::createSoundInternal             : Format has 1 subsounds.
[LOG] SystemI::createSoundInternal             : Create as FMOD_CREATESAMPLE
[LOG] SystemI::createSoundInternal             : Multi-sample sound (1 subsounds), create a sample container.
[LOG] SystemI::createSoundInternal             : creating subsound 0/1
[LOG] SystemI::createSample                    : mode 02000202 length 31841 samples, lengthbytes 5984
[LOG] SystemI::createSample                    : channels = 1
[LOG] SystemI::createSample                    : output = 0000000046425DB8
[LOG] OutputSoftware::createSample             : lengthpcm 31841, lengthbytes 5984, channels 1, format 2, freq 48000, mode 0200020a
[LOG] SystemI::createSoundInternal             : No name found in file, use filename.
[LOG] SystemI::createSoundInternal             : done.  OpenState now = FMOD_OPENSTATE_READY.

[LOG] SystemI::createSoundInternal             : filename =  : mode 02000202
[LOG] SystemI::createSoundInternal             : exinfo->cbsize             = 232
[LOG] SystemI::createSoundInternal             : exinfo->length             = 2660960
[LOG] SystemI::createSoundInternal             : exinfo->fileoffset         = 60704
[LOG] SystemI::createSoundInternal             : exinfo->numsubsounds       = 1
[LOG] SystemI::createSoundInternal             : exinfo->inclusionlist      = 000000006497FBF8
[LOG] SystemI::createSoundInternal             : exinfo->inclusionlistnum   = 1
[LOG] SystemI::createSoundInternal             : exinfo->suggestedsoundtype = 5
[LOG] SystemI::createSoundInternal             : exinfo->useropen           = 00007FFD8DC56730
[LOG] SystemI::createSoundInternal             : exinfo->userclose          = 00007FFD8DC56700
[LOG] SystemI::createSoundInternal             : exinfo->userread           = 00007FFD8DC56800
[LOG] SystemI::createSoundInternal             : exinfo->userseek           = 00007FFD8DC568B0
[LOG] SystemI::createSoundInternal             : exinfo->fileuserdata       = 00000000462E6A78
[LOG] SystemI::DSPCodecPoolRegister            : register codec pool for pool type 5
[LOG] SystemI::createSoundInternal             : Format has 1 subsounds.
[LOG] SystemI::createSoundInternal             : Create as FMOD_CREATESAMPLE
[LOG] SystemI::createSoundInternal             : Multi-sample sound (1 subsounds), create a sample container.
[LOG] SystemI::createSoundInternal             : creating subsound 0/1
[LOG] SystemI::createSample                    : mode 02000202 length 31841 samples, lengthbytes 5824
[LOG] SystemI::createSample                    : channels = 1
[LOG] SystemI::createSample                    : output = 0000000046425DB8
[LOG] OutputSoftware::createSample             : lengthpcm 31841, lengthbytes 5824, channels 1, format 2, freq 48000, mode 0200020a
[LOG] SystemI::createSoundInternal             : No name found in file, use filename.
[LOG] SystemI::createSoundInternal             : done.  OpenState now = FMOD_OPENSTATE_READY.

[LOG] SystemI::createSoundInternal             : filename =  : mode 02000202
[LOG] SystemI::createSoundInternal             : exinfo->cbsize             = 232
[LOG] SystemI::createSoundInternal             : exinfo->length             = 2660960
[LOG] SystemI::createSoundInternal             : exinfo->fileoffset         = 60704
[LOG] SystemI::createSoundInternal             : exinfo->numsubsounds       = 1
[LOG] SystemI::createSoundInternal             : exinfo->inclusionlist      = 000000006497FBF8
[LOG] SystemI::createSoundInternal             : exinfo->inclusionlistnum   = 1
[LOG] SystemI::createSoundInternal             : exinfo->suggestedsoundtype = 5
[LOG] SystemI::createSoundInternal             : exinfo->useropen           = 00007FFD8DC56730
[LOG] SystemI::createSoundInternal             : exinfo->userclose          = 00007FFD8DC56700
[LOG] SystemI::createSoundInternal             : exinfo->userread           = 00007FFD8DC56800
[LOG] SystemI::createSoundInternal             : exinfo->userseek           = 00007FFD8DC568B0
[LOG] SystemI::createSoundInternal             : exinfo->fileuserdata       = 00000000462E6A78
[LOG] SystemI::DSPCodecPoolRegister            : register codec pool for pool type 5
[LOG] SystemI::createSoundInternal             : Format has 1 subsounds.
[LOG] SystemI::createSoundInternal             : Create as FMOD_CREATESAMPLE
[LOG] SystemI::createSoundInternal             : Multi-sample sound (1 subsounds), create a sample container.
[LOG] SystemI::createSoundInternal             : creating subsound 0/1
[LOG] SystemI::createSample                    : mode 02000202 length 19360 samples, lengthbytes 3296
[LOG] SystemI::createSample                    : channels = 1
[LOG] SystemI::createSample                    : output = 0000000046425DB8
[LOG] OutputSoftware::createSample             : lengthpcm 19360, lengthbytes 3296, channels 1, format 2, freq 48000, mode 0200020a
[LOG] SystemI::createSoundInternal             : No name found in file, use filename.
[LOG] SystemI::createSoundInternal             : done.  OpenState now = FMOD_OPENSTATE_READY.

[LOG] SystemI::createSoundInternal             : filename =  : mode 02000202
[LOG] SystemI::createSoundInternal             : exinfo->cbsize             = 232
[LOG] SystemI::createSoundInternal             : exinfo->length             = 2660960
[LOG] SystemI::createSoundInternal             : exinfo->fileoffset         = 60704
[LOG] SystemI::createSoundInternal             : exinfo->numsubsounds       = 1
[LOG] SystemI::createSoundInternal             : exinfo->inclusionlist      = 000000006497FBF8
[LOG] SystemI::createSoundInternal             : exinfo->inclusionlistnum   = 1
[LOG] SystemI::createSoundInternal             : exinfo->suggestedsoundtype = 5
[LOG] SystemI::createSoundInternal             : exinfo->useropen           = 00007FFD8DC56730
[LOG] SystemI::createSoundInternal             : exinfo->userclose          = 00007FFD8DC56700
[LOG] SystemI::createSoundInternal             : exinfo->userread           = 00007FFD8DC56800
[LOG] SystemI::createSoundInternal             : exinfo->userseek           = 00007FFD8DC568B0
[LOG] SystemI::createSoundInternal             : exinfo->fileuserdata       = 00000000462E6A78
[LOG] SystemI::DSPCodecPoolRegister            : register codec pool for pool type 5
[LOG] SystemI::createSoundInternal             : Format has 1 subsounds.
[LOG] SystemI::createSoundInternal             : Create as FMOD_CREATESAMPLE
[LOG] SystemI::createSoundInternal             : Multi-sample sound (1 subsounds), create a sample container.
[LOG] SystemI::createSoundInternal             : creating subsound 0/1
[LOG] SystemI::createSample                    : mode 02000202 length 29926 samples, lengthbytes 5728
[LOG] SystemI::createSample                    : channels = 1
[LOG] SystemI::createSample                    : output = 0000000046425DB8
[LOG] OutputSoftware::createSample             : lengthpcm 29926, lengthbytes 5728, channels 1, format 2, freq 48000, mode 0200020a
[LOG] SystemI::createSoundInternal             : No name found in file, use filename.
[LOG] SystemI::createSoundInternal             : done.  OpenState now = FMOD_OPENSTATE_READY.

[LOG] SystemI::createSoundInternal             : filename =  : mode 02000202
[LOG] SystemI::createSoundInternal             : exinfo->cbsize             = 232
[LOG] SystemI::createSoundInternal             : exinfo->length             = 2660960
[LOG] SystemI::createSoundInternal             : exinfo->fileoffset         = 60704
[LOG] SystemI::createSoundInternal             : exinfo->numsubsounds       = 1
[LOG] SystemI::createSoundInternal             : exinfo->inclusionlist      = 000000006497FBF8
[LOG] SystemI::createSoundInternal             : exinfo->inclusionlistnum   = 1
[LOG] SystemI::createSoundInternal             : exinfo->suggestedsoundtype = 5
[LOG] SystemI::createSoundInternal             : exinfo->useropen           = 00007FFD8DC56730
[LOG] SystemI::createSoundInternal             : exinfo->userclose          = 00007FFD8DC56700
[LOG] SystemI::createSoundInternal             : exinfo->userread           = 00007FFD8DC56800
[LOG] SystemI::createSoundInternal             : exinfo->userseek           = 00007FFD8DC568B0
[LOG] SystemI::createSoundInternal             : exinfo->fileuserdata       = 00000000462E6A78
[LOG] SystemI::DSPCodecPoolRegister            : register codec pool for pool type 5
[LOG] SystemI::createSoundInternal             : Format has 1 subsounds.
[LOG] SystemI::createSoundInternal             : Create as FMOD_CREATESAMPLE
[LOG] SystemI::createSoundInternal             : Multi-sample sound (1 subsounds), create a sample container.
[LOG] SystemI::createSoundInternal             : creating subsound 0/1
[LOG] SystemI::createSample                    : mode 02000202 length 31568 samples, lengthbytes 5792
[LOG] SystemI::createSample                    : channels = 1
[LOG] SystemI::createSample                    : output = 0000000046425DB8
[LOG] OutputSoftware::createSample             : lengthpcm 31568, lengthbytes 5792, channels 1, format 2, freq 48000, mode 0200020a
[LOG] SystemI::createSoundInternal             : No name found in file, use filename.
